Model,Sub-model,Tune Type,Accuracy (%),Log Loss,F1 Score
Logistic Regression,Baseline,Accuracy,53.94,1.0038,0.4678
Logistic Regression,Baseline,F1,53.33,1.0074,0.463
Logistic Regression,DeepSeek-R1,Accuracy,52.73,0.998,0.4538
Logistic Regression,DeepSeek-R1,F1,52.12,1.0013,0.4511
Logistic Regression,GPT-4o mini,Accuracy,50.61,1.0087,0.4317
Logistic Regression,GPT-4o mini,F1,52.42,0.9956,0.4564
Logistic Regression,GPT-4.1,Accuracy,52.42,0.9974,0.4504
Logistic Regression,GPT-4.1,F1,53.64,0.9991,0.4666
Logistic Regression,Qwen2.5-Plus,Accuracy,52.12,1.0041,0.4481
Logistic Regression,Qwen2.5-Plus,F1,53.94,0.9966,0.4691
SVC,Baseline,Accuracy,53.64,1.0106,0.462
SVC,Baseline,F1,53.64,1.0135,0.462
SVC,DeepSeek-R1,Accuracy,52.73,1.0111,0.4538
SVC,DeepSeek-R1,F1,52.73,1.0111,0.4538
SVC,GPT-4o mini,Accuracy,52.12,1.0064,0.4517
SVC,GPT-4o mini,F1,51.82,1.0213,0.4551
SVC,GPT-4.1,Accuracy,53.03,1.0045,0.4602
SVC,GPT-4.1,F1,50.61,1.0177,0.4306
SVC,Qwen2.5-Plus,Accuracy,53.03,1.0098,0.4593
SVC,Qwen2.5-Plus,F1,53.03,1.0086,0.4593
Random Forest,Baseline,Accuracy,50.3,1.0151,0.4037
Random Forest,Baseline,F1,50.61,1.0072,0.4229
Random Forest,DeepSeek-R1,Accuracy,50.91,1.0071,0.4288
Random Forest,DeepSeek-R1,F1,49.09,1.0173,0.424
Random Forest,GPT-4o mini,Accuracy,51.21,1.0121,0.4319
Random Forest,GPT-4o mini,F1,50.0,1.0812,0.4589
Random Forest,GPT-4.1,Accuracy,50.61,1.01,0.4165
Random Forest,GPT-4.1,F1,49.39,1.0208,0.4325
Random Forest,Qwen2.5-Plus,Accuracy,50.3,1.0045,0.4258
Random Forest,Qwen2.5-Plus,F1,50.91,1.0101,0.4413
XGBoost,Baseline,Accuracy,50.3,1.0347,0.428
XGBoost,Baseline,F1,50.3,1.016,0.4365
XGBoost,DeepSeek-R1,Accuracy,50.3,1.0183,0.4311
XGBoost,DeepSeek-R1,F1,49.09,1.0202,0.4216
XGBoost,GPT-4o mini,Accuracy,51.21,1.0267,0.4373
XGBoost,GPT-4o mini,F1,50.0,1.0432,0.4318
XGBoost,GPT-4.1,Accuracy,50.91,1.0343,0.4343
XGBoost,GPT-4.1,F1,51.21,1.0259,0.4366
XGBoost,Qwen2.5-Plus,Accuracy,49.39,1.0508,0.4187
XGBoost,Qwen2.5-Plus,F1,50.61,1.028,0.4306
