Model,Sub-model,Tune Type,Initial Bankroll,Final Bankroll,P&L (%),Number of Bets
Logistic Regression,Baseline,Accuracy,10000,17511.62,75.12,327
Logistic Regression,DeepSeek-R1,Accuracy,10000,18934.66,89.35,326
Logistic Regression,GPT-4o mini,Accuracy,10000,12709.69,27.1,324
Logistic Regression,GPT-4.1,Accuracy,10000,17952.08,79.52,325
Logistic Regression,Qwen2.5-Plus,Accuracy,10000,14197.88,41.98,324
SVC,Baseline,Accuracy,10000,17218.18,72.18,325
SVC,DeepSeek-R1,Accuracy,10000,12502.31,25.02,325
SVC,GPT-4o mini,Accuracy,10000,11912.11,19.12,328
SVC,GPT-4.1,Accuracy,10000,9062.88,-9.37,324
SVC,Qwen2.5-Plus,Accuracy,10000,15177.75,51.78,326
Random Forest,Baseline,Accuracy,10000,7899.23,-21.01,324
Random Forest,DeepSeek-R1,Accuracy,10000,12202.58,22.03,324
Random Forest,GPT-4o mini,Accuracy,10000,8401.3,-15.99,321
Random Forest,GPT-4.1,Accuracy,10000,10732.3,7.32,323
Random Forest,Qwen2.5-Plus,Accuracy,10000,16554.05,65.54,324
XGBoost,Baseline,Accuracy,10000,10830.16,8.3,327
XGBoost,DeepSeek-R1,Accuracy,10000,19206.61,92.07,322
XGBoost,GPT-4o mini,Accuracy,10000,9444.86,-5.55,326
XGBoost,GPT-4.1,Accuracy,10000,10571.7,5.72,326
XGBoost,Qwen2.5-Plus,Accuracy,10000,8645.57,-13.54,328
Logistic Regression,Baseline,F1,10000,20521.53,105.22,328
Logistic Regression,DeepSeek-R1,F1,10000,27401.07,174.01,327
Logistic Regression,GPT-4o mini,F1,10000,21063.95,110.64,327
Logistic Regression,GPT-4.1,F1,10000,16001.87,60.02,326
Logistic Regression,Qwen2.5-Plus,F1,10000,17503.85,75.04,327
SVC,Baseline,F1,10000,13307.05,33.07,321
SVC,DeepSeek-R1,F1,10000,12502.31,25.02,325
SVC,GPT-4o mini,F1,10000,18980.86,89.81,323
SVC,GPT-4.1,F1,10000,12111.53,21.12,325
SVC,Qwen2.5-Plus,F1,10000,18117.17,81.17,324
Random Forest,Baseline,F1,10000,21395.57,113.96,326
Random Forest,DeepSeek-R1,F1,10000,26476.16,164.76,325
Random Forest,GPT-4o mini,F1,10000,7997.07,-20.03,327
Random Forest,GPT-4.1,F1,10000,37948.34,279.48,325
Random Forest,Qwen2.5-Plus,F1,10000,17403.54,74.04,326
XGBoost,Baseline,F1,10000,34797.11,247.97,326
XGBoost,DeepSeek-R1,F1,10000,13315.21,33.15,324
XGBoost,GPT-4o mini,F1,10000,8391.48,-16.09,328
XGBoost,GPT-4.1,F1,10000,13005.82,30.06,323
XGBoost,Qwen2.5-Plus,F1,10000,12426.54,24.27,323
